OutputerStream
==========================================================================
Started:Wed Jun 29 08:28:01 2022 UTC
==========================================================================
notification,step,stepDate,fracOfStep,stepLenInYears,Pool 1,Pool 2,Pool 3,
onTimingPostInit,0,1919-11-30:23:59:59.999999,1,0,100,100,100,
onOutputStep,1,1920-01-31:23:59:59.999999,1,0.0846994535519126,119,80,101,
onOutputStep,2,1920-02-29:23:59:59.999999,1,0.0792349726775956,114.79,114.7,70.51,
onOutputStep,3,1920-03-31:23:59:59.999999,1,0.0846994535519126,70.6229,91.877,137.5001,
onOutputStep,4,1920-04-30:23:59:59.999999,1,0.0819672131147541,183.688279,45.87127,70.4404510000001,
onOutputStep,5,1920-05-31:23:59:59.999999,1,0.0846994535519126,49.8497882900001,215.8591277,34.2910840099999,
onOutputStep,6,1920-06-30:23:59:59.999999,1,0.0819672131147541,36.1387786878999,-43.1248390729998,306.9860603851,
onOutputStep,7,1920-07-31:23:59:59.999999,1,0.0846994535519126,446.567596367429,68.5428318307697,-215.110428198199,
onOutputStep,8,1920-08-31:23:59:59.999999,1,0.0846994535519126,-454.484816925545,546.266459362273,208.218357563272,
onOutputStep,9,1920-09-30:23:59:59.999999,1,0.0819672131147541,446.590797846939,-863.963491684344,717.372693837406,
onOutputStep,10,1920-10-31:23:59:59.999999,1,0.0846994535519126,934.908074463653,1012.54978304319,-1647.45785750685,
onOutputStep,11,1920-11-30:23:59:59.999999,1,0.0819672131147541,-2735.1846300243,709.105605281153,2326.07902474314,
onOutputStep,12,1920-12-31:23:59:59.999999,1,0.0846994535519126,4286.41313587457,-3910.29282167216,-76.1203142024096,
onOutputStep,13,1921-01-31:23:59:59.999999,1,0.0849315068493151,-1399.34320892396,7527.48348747302,-5828.14027854906,
onOutputStep,14,1921-02-28:23:59:59.999999,1,0.0767123287671233,-8264.12605236091,-5582.88791533766,14147.0139676986,
onOutputStep,15,1921-03-31:23:59:59.999999,1,0.0849315068493151,23558.2886275792,-7951.91991040035,-15306.3687171788,
onOutputStep,16,1921-04-30:23:59:59.999999,1,0.0821917808219178,-29873.9759768702,34601.7351710531,-4427.75919418292,
onOutputStep,17,1921-05-31:23:59:59.999999,1,0.0849315068493151,2364.83159372849,-56137.0363554577,54072.2047617292,
onOutputStep,18,1921-06-30:23:59:59.999999,1,0.0821917808219178,79858.135616858,31142.7992495759,-110700.934866434,
onOutputStep,19,1921-07-31:23:59:59.999999,1,0.0849315068493151,-188901.833636044,88244.1766771275,100957.656958917,
onOutputStep,20,1921-08-31:23:59:59.999999,1,0.0849315068493151,207097.458959599,-289694.472065421,82897.0131058222,
onOutputStep,21,1921-09-30:23:59:59.999999,1,0.0821917808219178,61387.3118397954,414073.932680189,-475161.244519984,
onOutputStep,22,1921-10-31:23:59:59.999999,1,0.0849315068493151,-726406.447886715,-127233.46094836,853939.908835076,
onOutputStep,23,1921-11-30:23:59:59.999999,1,0.0821917808219178,1490292.39853028,-880711.65177855,-609280.746751728,
onOutputStep,24,1921-12-31:23:59:59.999999,1,0.0849315068493151,-1354916.03221916,2377735.94397864,-1022519.91175948,
onOutputStep,25,1922-01-31:23:59:59.999999,1,0.0849315068493151,-1117079.85885587,-2950258.81387422,4067638.6727301,
onOutputStep,26,1922-02-28:23:59:59.999999,1,0.0767123287671233,6395905.58002461,22925.5904244734,-6418531.17044908,
onOutputStep,27,1922-03-31:23:59:59.999999,1,0.0849315068493151,-11482383.1179765,8303214.45881975,3179468.65915676,
onOutputStep,28,1922-04-30:23:59:59.999999,1,0.0821917808219178,8182123.23753653,-19078705.2827793,10896882.0452428,
onOutputStep,29,1922-05-31:23:59:59.999999,1,0.0849315068493151,13781717.2761508,20176112.8501872,-33957530.126338,
onOutputStep,30,1922-06-30:23:59:59.999999,1,0.0821917808219178,-54731235.0710889,7828176.03390251,46903359.0371863,
onOutputStep,31,1922-07-31:23:59:59.999999,1,0.0849315068493151,86305375.4867343,-75064693.6093668,-11240381.8773675,
onOutputStep,32,1922-08-31:23:59:59.999999,1,0.0849315068493151,-42639781.6432979,149729334.937438,-107089253.29414,
onOutputStep,33,1922-09-30:23:59:59.999999,1,0.0821917808219178,-146771052.915279,-130296383.605006,277067736.520286,
onOutputStep,34,1922-10-31:23:59:59.999999,1,0.0849315068493151,456862243.289809,-125654176.98736,-331207766.302449,
onOutputStep,35,1922-11-30:23:59:59.999999,1,0.0821917808219178,-630558244.777592,656748004.770432,-26189459.9928397,
onOutputStep,36,1922-12-31:23:59:59.999999,1,0.0849315068493151,150145178.043947,-1148099720.59609,997954842.552139,
onOutputStep,37,1923-01-31:23:59:59.999999,1,0.0849315068493151,1441909161.9895,769238591.755174,-2211147453.74468,
onOutputStep,38,1923-02-28:23:59:59.999999,1,0.0767123287671233,-3727182454.67642,1489862614.70877,2237320139.96765,
onOutputStep,39,1923-03-31:23:59:59.999999,1,0.0849315068493151,4451761744.95473,-5590268498.43373,1138507053.479,
onOutputStep,40,1923-04-30:23:59:59.999999,1,0.0821917808219178,360846986.197297,8582424517.65801,-8943271203.85531,
onOutputStep,41,1923-05-31:23:59:59.999999,1,0.0849315068493151,-13433728189.6036,-3822111176.77252,17255839666.3761,
onOutputStep,42,1923-06-30:23:59:59.999999,1,0.0821917808219178,29741319559.7815,-15552791058.0984,-14188528201.6831,
onOutputStep,43,1923-07-31:23:59:59.999999,1,0.0849315068493151,-30063302888.4422,46440110956.7652,-16376807768.3229,
onOutputStep,44,1923-08-31:23:59:59.999999,1,0.0849315068493151,-15382452708.2685,-62302349233.3575,77684802241.626,
onOutputStep,45,1923-09-30:23:59:59.999999,1,0.0821917808219178,120365091152.503,11153986095.9297,-131519076948.433,
onOutputStep,46,1923-10-31:23:59:59.999999,1,0.0849315068493151,-232072951998.916,150897625450.289,81175326848.6267,
onOutputStep,47,1923-11-30:23:59:59.999999,1,0.0821917808219178,190573122604.129,-377143650323.735,186570528019.607,
onOutputStep,48,1923-12-31:23:59:59.999999,1,0.0849315068493151,220818149967.976,436316884547.235,-657135034215.211,
onOutputStep,49,1924-01-31:23:59:59.999999,1,0.0846994535519126,-1045376645971.06,68905152684.7509,976471493586.305,
