OutputerStream
==========================================================================
Started:Sat Jun 25 16:29:16 2022 UTC
==========================================================================
notification,step,stepDate,fracOfStep,stepLenInYears,initialValues,plantCM,SoilDPM,SoilRPM,SoilBioF,SoilBioS,SoilHUM,SoilIOM,atmosphere,offsiteCM,
onTimingPostInit,0,1919-11-30:23:59:59.999999,1,0,-72.741,0,0.02,8.681,0.05,0.03,20.96,43,0,0,
onOutputStep,1,1920-01-31:23:59:59.999999,1,0.0846994535519126,-72.741,-10.08,7.4683599324115,11.1612806275218,0.0682190721898269,0.0292431145093992,20.9523613766712,43,0.14153587669627,0,
onOutputStep,2,1920-02-29:23:59:59.999999,1,0.0792349726775956,-72.741,-23.58,15.0476204533276,14.4976101031472,0.377840718140016,0.0285320643690335,21.2490039288437,43,2.12039273217238,0,
onOutputStep,3,1920-03-31:23:59:59.999999,1,0.0846994535519126,-72.741,-32.88,17.4446176058296,16.7074932935644,0.940014405336907,0.0279003201485472,21.8104909120194,43,5.69048346310113,0,
onOutputStep,4,1920-04-30:23:59:59.999999,1,0.0819672131147541,-72.741,-41.48,23.8050342724962,18.9470766268978,0.940014405336907,0.0279003201485472,21.8104909120194,43,5.69048346310113,0,
onOutputStep,5,1920-05-31:23:59:59.999999,1,0.0846994535519126,-72.741,-48.88,29.2779509391629,20.8741599602311,0.940014405336907,0.0279003201485472,21.8104909120194,43,5.69048346310113,0,
onOutputStep,6,1920-06-30:23:59:59.999999,1,0.0819672131147541,-72.741,-56.38,34.8248259391629,22.8272849602311,0.940014405336907,0.0279003201485472,21.8104909120194,43,5.69048346310113,0,
onOutputStep,7,1920-07-31:23:59:59.999999,1,0.0846994535519126,-72.741,-63.88,40.3717009391629,24.7804099602311,0.940014405336907,0.0279003201485472,21.8104909120194,43,5.69048346310113,0,
onOutputStep,8,1920-08-31:23:59:59.999999,1,0.0846994535519126,-72.741,-72.48,40.3983322775565,26.8444150955923,1.71968107110416,0.0276003948006013,22.610267089687,43,10.6207040712596,0,
onOutputStep,9,1920-09-30:23:59:59.999999,1,0.0819672131147541,-72.741,-82.48,40.7409451384739,29.2348193090725,2.5900923162558,0.0272670181938712,23.502552602515,43,16.1253236154889,0,
onOutputStep,10,1920-10-31:23:59:59.999999,1,0.0846994535519126,-72.741,-92.68,48.2846951384739,31.8910693090725,2.5900923162558,0.0272670181938712,23.502552602515,43,16.1253236154889,0,
onOutputStep,11,1920-11-30:23:59:59.999999,1,0.0819672131147541,-72.741,-102.88,43.4181502233763,34.1549801753167,4.12353307610185,0.0267587655485166,25.0766143618695,43,25.8209633977871,0,
onOutputStep,12,1920-12-31:23:59:59.999999,1,0.0846994535519126,-72.741,-113.18,37.9626302971786,36.3312261926011,5.75000352595462,0.0261584700365966,26.741210033803,43,36.109771480426,0,
onOutputStep,13,1921-01-31:23:59:59.999999,1,0.0849315068493151,-72.741,-122.61,42.9020505334351,38.7036534945217,6.00370694950373,0.0260673588878394,27.0006312517359,43,37.7148904119156,0,
onOutputStep,14,1921-02-28:23:59:59.999999,1,0.0767123287671233,-72.741,-136.01,39.3584192861967,41.5911386674447,7.68729432007498,0.0254534677294147,28.7209752228254,43,48.3677190357288,0,
onOutputStep,15,1921-03-31:23:59:59.999999,1,0.0849315068493151,-72.741,-145.21,34.4150323780826,43.3771501863805,9.16741296727492,0.0248883616355054,30.2294767327607,43,57.7370393738657,0,
onOutputStep,16,1921-04-30:23:59:59.999999,1,0.0821917808219178,-72.741,-153.71,32.2341175968519,45.0832569926995,10.2423844537864,0.0244471634120234,31.3214636250354,43,64.5453301682147,0,
onOutputStep,17,1921-05-31:23:59:59.999999,1,0.0849315068493151,-72.741,-161.01,37.6330759301852,46.9842986593662,10.2423844537864,0.0244471634120234,31.3214636250354,43,64.5453301682147,0,
onOutputStep,18,1921-06-30:23:59:59.999999,1,0.0821917808219178,-72.741,-168.41,43.1059925968519,48.9113819926995,10.2423844537864,0.0244471634120234,31.3214636250354,43,64.5453301682147,0,
onOutputStep,19,1921-07-31:23:59:59.999999,1,0.0849315068493151,-72.741,-175.81,48.5789092635185,50.8384653260329,10.2423844537864,0.0244471634120234,31.3214636250354,43,64.5453301682147,0,
onOutputStep,20,1921-08-31:23:59:59.999999,1,0.0849315068493151,-72.741,-184.31,54.8653675968519,53.0520069926995,10.2423844537864,0.0244471634120234,31.3214636250354,43,64.5453301682147,0,
onOutputStep,21,1921-09-30:23:59:59.999999,1,0.0821917808219178,-72.741,-194.21,52.5843949735561,55.2065253436293,11.4432949285904,0.0241510696152553,32.5524262688286,43,72.1402074157805,0,
onOutputStep,22,1921-10-31:23:59:59.999999,1,0.0849315068493151,-72.741,-204.31,60.0541866402227,57.8367336769626,11.4432949285904,0.0241510696152553,32.5524262688286,43,72.1402074157805,0,
onOutputStep,23,1921-11-30:23:59:59.999999,1,0.0821917808219178,-72.741,-214.41,67.5239783068894,60.4669420102959,11.4432949285904,0.0241510696152553,32.5524262688286,43,72.1402074157805,0,
onOutputStep,24,1921-12-31:23:59:59.999999,1,0.0849315068493151,-72.741,-224.61,54.6899255149466,62.224867961727,13.9916156769098,0.0236078065677638,35.1679731112945,43,88.2530099285544,0,
onOutputStep,25,1922-01-31:23:59:59.999999,1,0.0849315068493151,-72.741,-233.39,42.985866054839,63.4711686971989,16.2958062006256,0.0230105820246877,37.5214567033736,43,102.833691761938,0,
onOutputStep,26,1922-02-28:23:59:59.999999,1,0.0767123287671233,-72.741,-244.79,51.417116054839,66.4399186971989,16.2958062006256,0.0230105820246877,37.5214567033736,43,102.833691761938,0,
onOutputStep,27,1922-03-31:23:59:59.999999,1,0.0849315068493151,-72.741,-253.89,42.8005361667567,67.8355482450471,18.2506383262917,0.0224997117470192,39.5142332983808,43,115.207544251777,0,
onOutputStep,28,1922-04-30:23:59:59.999999,1,0.0821917808219178,-72.741,-263.09,49.6047028334233,70.2313815783805,18.2506383262917,0.0224997117470192,39.5142332983808,43,115.207544251777,0,
onOutputStep,29,1922-05-31:23:59:59.999999,1,0.0849315068493151,-72.741,-270.49,45.3025729539477,71.5191445119553,19.4980110920512,0.0221891290317497,40.7852293756375,43,123.103852937377,0,
onOutputStep,30,1922-06-30:23:59:59.999999,1,0.0821917808219178,-72.741,-277.29,50.3317396206143,73.2899778452886,19.4980110920512,0.0221891290317497,40.7852293756375,43,123.103852937377,0,
onOutputStep,31,1922-07-31:23:59:59.999999,1,0.0849315068493151,-72.741,-283.79,47.7085233553224,74.4965141937287,20.4462237940225,0.0219657827631932,41.7516413758893,43,129.106131498274,0,
onOutputStep,32,1922-08-31:23:59:59.999999,1,0.0849315068493151,-72.741,-294.49,55.6220650219891,77.2829725270621,20.4462237940225,0.0219657827631932,41.7516413758893,43,129.106131498274,0,
onOutputStep,33,1922-09-30:23:59:59.999999,1,0.0821917808219178,-72.741,-304.89,63.3137316886557,79.9913058603954,20.4462237940225,0.0219657827631932,41.7516413758893,43,129.106131498274,0,
onOutputStep,34,1922-10-31:23:59:59.999999,1,0.0849315068493151,-72.741,-314.29,70.2658150219891,82.4392225270621,20.4462237940225,0.0219657827631932,41.7516413758893,43,129.106131498274,0,
onOutputStep,35,1922-11-30:23:59:59.999999,1,0.0821917808219178,-72.741,-323.49,77.0699816886557,84.8350558603954,20.4462237940225,0.0219657827631932,41.7516413758893,43,129.106131498274,0,
